PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2015,1,Una Noche De Amor,M&s Produccion S.R.L.,Largometraje Con I.N.C.A.A.,5/10/2015,05/10/2015,11 DE SEPTIEMBRE DE 1888 1050,11 DE SEPTIEMBRE DE 1888,1050,PALERMO,COMUNA 14,1426,C1426BKH,"-5,844,256,476","-3,456,839,053"
2013,2,Día De La Madre,48m2 S.A.,Cine Publicitario,28/9/2013,28/09/2013,11 DE SEPTIEMBRE DE 1888 1401,11 DE SEPTIEMBRE DE 1888,1401,BELGRANO,COMUNA 13,1426,C1426BKO,"-5,844,554,227","-345,652,367"
2012,4328,101 Ways China,Endemol Argentina S.A.,Programa Televisivo,28/4/2012,28/04/2012,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4000,VILLA SOLDATI,COMUNA 8,1439,C1439CNP,"-5,845,425,815","-3,466,888,999"
2012,127,23 Pares,Albertina Carri,Programa Televisivo,3/10/2012,03/10/2012,3 DE FEBRERO 2980,3 DE FEBRERO,2980,NÚÑEZ,COMUNA 13,1429,C1429BFD,"-5,845,879,178","-3,455,098,581"
2012,746,23 Pares,Albertina Carri,Programa Televisivo,10/10/2012,10/10/2012,ARCAMENDIA 772,ARCAMENDIA,772,BARRACAS,COMUNA 4,1274,C1274AAD,"-5,837,966,929","-3,464,172,618"
2011,6,Mueve Tu Cuerpo,Películas Cortitas Sa,Cine Publicitario,20/5/2011,20/05/2011,11 DE SEPTIEMBRE DE 1888 1460,11 DE SEPTIEMBRE DE 1888,1460,BELGRANO,COMUNA 13,1426,C1426BKP,"-584,460,525","-3,456,480,077"
2013,7,El Patron,Magoya Films Sa,Largometraje Con I.N.C.A.A.,15/8/2013,15/08/2013,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV,"-5,844,822,029","-3,456,226,473"
2013,8,El Patron,Magoya Films Sa,Largometraje Con I.N.C.A.A.,24/8/2013,24/08/2013,11 DE SEPTIEMBRE DE 1888 1740,11 DE SEPTIEMBRE DE 1888,1740,BELGRANO,COMUNA 13,1426,C1426BKV,"-5,844,822,029","-3,456,226,473"
2015,9,Infelices,Patagonik Film Group S.A.,Largometraje Nacional,6/11/2015,06/11/2015,11 DE SEPTIEMBRE DE 1888 1790,11 DE SEPTIEMBRE DE 1888,1790,BELGRANO,COMUNA 13,1426,C1426BKV,"-5,844,862,401","-345,617,927"
2011,10,All In,Bdcine Srl,Largometraje Con I.N.C.A.A.,10/6/2011,10/06/2011,11 DE SEPTIEMBRE DE 1888 1801,11 DE SEPTIEMBRE DE 1888,1801,BELGRANO,COMUNA 13,1428,C1428AIA,"-5,844,874,106","-3,456,149,649"
2012,1062,23 Pares,Albertina Carri,Programa Televisivo,24/8/2012,24/08/2012,ASUNCION 3671,ASUNCION,3671,VILLA DEVOTO,COMUNA 11,1419,C1419HGI,"-5,850,710,227","-345,983,318"
2011,12,Half Way,Ursula Cine Sa,Cine Publicitario,13/1/2011,13/01/2011,11 DE SEPTIEMBRE DE 1888 1883,11 DE SEPTIEMBRE DE 1888,1883,BELGRANO,COMUNA 13,1428,C1428AIA,"-5,844,942,378","-3,456,070,367"
2014,13,Los Yumajos,Fundacion Del Cine,Estudiantes,1/5/2014,01/05/2014,11 DE SEPTIEMBRE DE 1888 1883,11 DE SEPTIEMBRE DE 1888,1883,BELGRANO,COMUNA 13,1428,C1428AIA,"-5,844,942,378","-3,456,070,367"
2012,14,Ejercicio 1er Año Maniana,Escine Sa,Estudiantes,8/5/2012,08/05/2012,11 DE SEPTIEMBRE DE 1888 1900,11 DE SEPTIEMBRE DE 1888,1900,BELGRANO,COMUNA 13,1428,C1428AIB,"-5,844,949,835","-3,456,074,709"
2011,15,Mtv Busk,Mtv Networks Argentina Srl,Video Clip,2/8/2011,02/08/2011,11 DE SEPTIEMBRE DE 1888 1900,11 DE SEPTIEMBRE DE 1888,1900,BELGRANO,COMUNA 13,1428,C1428AIB,"-5,844,949,835","-3,456,074,709"
2012,16,Clorox,I-real Srl,Cine Publicitario,6/1/2012,06/01/2012,11 DE SEPTIEMBRE DE 1888 1901,11 DE SEPTIEMBRE DE 1888,1901,BELGRANO,COMUNA 13,1428,C1428AIC,"-5,844,985,798","-3,456,023,172"
2011,17,Mc Donalds,Onyx Films Sa,Cine Publicitario,21/8/2011,21/08/2011,11 DE SEPTIEMBRE DE 1888 1901,11 DE SEPTIEMBRE DE 1888,1901,BELGRANO,COMUNA 13,1428,C1428AIC,"-5,844,985,798","-3,456,023,172"
2012,18,Good Skin Day,Labhouse S.A.,Cine Publicitario,8/1/2012,08/01/2012,11 DE SEPTIEMBRE DE 1888 1925,11 DE SEPTIEMBRE DE 1888,1925,BELGRANO,COMUNA 13,1428,C1428AIC,"-5,844,995,476","-3,456,011,931"
2011,19,Parientes,Folk Cine Sa,Cine Publicitario,22/5/2011,22/05/2011,11 DE SEPTIEMBRE DE 1888 1945,11 DE SEPTIEMBRE DE 1888,1945,BELGRANO,COMUNA 13,1428,C1428AIC,"-5,845,003,542","-3,456,002,564"
2012,20,Concurso Para El Gobierno De La Ciudad De Buenos Aires,Minimal Cine Srl,Cine Publicitario,15/3/2012,15/03/2012,11 DE SEPTIEMBRE DE 1888 1950,11 DE SEPTIEMBRE DE 1888,1950,BELGRANO,COMUNA 13,1428,C1428AID,"-5,845,007,084","-3,456,008,221"
2011,21,Pert,PALERMO Films Sa,Cine Publicitario,27/9/2011,27/09/2011,11 DE SEPTIEMBRE DE 1888 1951,11 DE SEPTIEMBRE DE 1888,1951,BELGRANO,COMUNA 13,1428,C1428AIC,"-5,845,005,962","-3,455,999,754"
2011,22,Claro Razones,Nunchaku Cine Srl,Cine Publicitario,28/11/2011,28/11/2011,11 DE SEPTIEMBRE DE 1888 2627,11 DE SEPTIEMBRE DE 1888,2627,BELGRANO,COMUNA 13,1428,C1428AJG,"-5,845,531,047","-3,455,369,165"
